cls,norm_cs
RAF_INHIBITOR,0.8923
NUCLEOSIDE_REVERSE_TRANSCRIPTASE_INHIBITOR,0.8926
DNA_DEPENDENT_PROTEIN_KINASE_INHIBITOR,0.8962
IGF-1_INHIBITOR,0.9025
RIBONUCLEOSIDE_REDUCTASE_INHIBITOR,0.9053
DOPAMINE_RECEPTOR_AGONIST,0.9057
SYK_INHIBITOR,0.9066
DNA_METHYLTRANSFERASE_INHIBITOR,0.9135
AURORA_KINASE_INHIBITOR,0.9156
ACAT_INHIBITOR,0.9198
RHO_ASSOCIATED_KINASE_INHIBITOR,0.92075
DOPAMINE_RECEPTOR_ANTAGONIST,0.9221
DNA_DIRECTED_DNA_POLYMERASE_INHIBITOR,0.9237
METALLOPROTEINASE_INHIBITOR,0.9314
RNA_SYNTHESIS_INHIBITOR,0.9323
OPIOID_RECEPTOR_ANTAGONIST,0.9382
SODIUM/POTASSIUM/CHLORIDE_TRANSPORTER_INHIBITOR,0.9627
RET_TYROSINE_KINASE_INHIBITOR,0.9754
RETINOID_RECEPTOR_AGONIST,0.978
CARCINOGEN,0.9794
CALCINEURIN_INHIBITOR,0.9798
EGFR_INHIBITOR,0.9875
ALGICIDE,0.9996
MDM_INHIBITOR,1.0183
FLT3_INHIBITOR,1.0210499999999998
PARP_INHIBITOR,1.0332
BENZODIAZEPINE_RECEPTOR_AGONIST,1.0443500000000001
GABA_RECEPTOR_AGONIST,1.048
FGFR_INHIBITOR,1.05215
MEK_INHIBITOR,1.0532
THYMIDYLATE_SYNTHASE_INHIBITOR,1.0614
RIBONUCLEOTIDE_REDUCTASE_INHIBITOR,1.0813
RECEPTOR_TYROSINE_PROTEIN_KINASE_INHIBITOR,1.0817
LXR_AGONIST,1.09395
KIT_INHIBITOR,1.0991
INOSINE_MONOPHOSPHATE_DEHYDROGENASE_INHIBITOR,1.10465
ACETYLCHOLINE_RECEPTOR_AGONIST,1.1058
GAT_INHIBITOR,1.1174
ESTROGEN_RECEPTOR_ANTAGONIST,1.1289
LIPASE_CLEARING_FACTOR_INHIBITOR,1.1320000000000001
ATR_KINASE_INHIBITOR,1.1333
MELANIN_INHIBITOR,1.1333
DYRK_INHIBITOR,1.1339000000000001
PURINE_ANTAGONIST,1.1498
BROMODOMAIN_INHIBITOR,1.1569
ARYL_HYDROCARBON_RECEPTOR_ANTAGONIST,1.16205
AKT_INHIBITOR,1.1646
VEGFR_INHIBITOR,1.1842000000000001
CALCIUM/CALMODULIN_DEPENDENT_PROTEIN_KINASE_INHIBITOR,1.1922
DNA_INHIBITOR,1.19315
PROTEIN_ARGININE_N-METHYLTRANSFERASE_INHIBITOR,1.19685
ADENOSINE_RECEPTOR_AGONIST,1.2165
FOCAL_ADHESION_KINASE_INHIBITOR,1.23205
PI3K_INHIBITOR,1.2732
ANDROGEN_RECEPTOR_MODULATOR,1.2967
DIHYDROFOLATE_REDUCTASE_INHIBITOR,1.3149
SIRT_ACTIVATOR,1.3342
BRUTON'S_TYROSINE_KINASE_(BTK)_INHIBITOR,1.3468
HMGCR_INHIBITOR,1.3865
CHK_INHIBITOR,1.388
TOPOISOMERASE_INHIBITOR,1.3946
HYDANTOIN_ANTIEPILEPTIC,1.4189
TELOMERASE_INHIBITOR,1.4614
MICROTUBULE_STABILIZING_AGENT,1.474
MTOR_INHIBITOR,1.5128
OSTEOCLAST_INHIBITOR,1.5732
PABA_ANTAGONIST,1.581
