,pearson_r
PTCHD4,0.5633457301657137
LNCTAM34A,0.5632131011146649
UPP1,0.5628218462078725
P2RY6,0.5626426422531995
SIPA1,0.5624953858151418
RHOG,0.5609244780536884
SERPINA1,0.5608996776271036
TMEM184A,0.5605076135745627
LIPH,0.5603971663412036
CTSD,0.5599662894436721
KCTD17,0.5596980270810697
SPINT1,0.5589949570537345
S100A4,0.5586343694866925
VASN,0.558458850918231
ITGA3,0.5572143008714312
RPL36,0.5570262548483241
NBL1,0.5557171566805266
RPLP2,0.555676225368016
ISYNA1,0.5553114343721927
DVL1,0.5549662894528272
TAGLN2,0.5541174212830301
RPS9,0.5538999849659336
ADPRS,0.5530259202899561
QSOX1,0.5529500730423077
STING1,0.5527218153270308
PSMD4,0.5526806454595589
RPLP1,0.5523291899978772
PDE9A,0.5516706259327414
PDZK1IP1,0.5514442510714767
S100A5,0.5496579905921157
NECTIN4,0.5487079636186823
NFKBIE,0.5483225568000148
BCL7C,0.5477699401790561
TMSB4X,0.5476978072556439
EMP3,0.5470281594761242
PLAUR,0.546292496360033
RABGGTA,0.544320095494173
NGEF,0.5439053787307342
UNC5CL,0.5438342864794364
MRPL17,0.5432972866519166
ZNF581,0.5423528357987651
CST6,0.5423251787728351
GRB7,0.5417044633506536
MFGE8,0.5409294827690663
CDH3,0.5407362563762222
SPHK1,0.5406854492938497
CDC42EP1,0.5396205435993316
CXCL16,0.5396051250641327
SAC3D1,0.5390953946002052
ETHE1,0.5380431797212374
NFE2L3,0.5380000975638652
MUC1,0.5375972896295745
LAMB3,0.5374614153023306
UNC93B1,0.537355848783123
RPL13,0.5369118494057833
ELF3,0.5368020170643852
RPL28,0.5360487087411409
ANXA11,0.5356610694659827
MTMR11,0.5356250298608393
MROH6,0.5353659283179015
MICALL2,0.535075658026735
RPS2,0.5350661191454714
ALOX5,0.5349326252739415
UBTD1,0.5349192143840694
TNFRSF1A,0.5348322927636824
BID,0.5347758007388406
AGAP3,0.5345724812449626
MXRA8,0.5345549315709539
NR2F1-AS1,0.534412041135887
LENG9,0.5341893746922738
VASP,0.5340113834111901
NUDT1,0.5338556650896773
CAPG,0.5335616164717019
PDE4C,0.5334222708042305
GSTO1,0.5331337730326025
TMPRSS4,0.5327257400862744
SH2D3A,0.53264766384198
MMP24OS,0.5323994910512071
CYSRT1,0.532052030676042
RYR1,0.5319933336081191
PPP4C,0.5319767386539324
CITED4,0.5318332373111969
SNCG,0.5317883721019002
RPS8,0.5306397762351694
GDF15,0.5303608892790816
MAP1S,0.5301721685896332
CD276,0.5301241968486375
SHFL,0.5300269106438655
LAGE3,0.529945002405063
ADORA1,0.5292382933146534
ANG,0.5286891271141692
FXYD5,0.5286870451993074
SRM,0.5286777385834724
PLK3,0.5285848577144773
CYBC1,0.5284523632930611
CCDC74A,0.5284256441415802
RNF181,0.5273827173902079
ME3,0.5265385207742738
TNFRSF12A,0.5257895653729088
MRC2,0.5256113594753379
SLC66A1,0.525277932393008
SHISA5,0.5252439750124083
YIF1B,0.5247275114396007
PGLS,0.5245083115980533
CMTM7,0.5244044444643149
