sample,PHLDA3,study,stype,site,disease
TCGA-27-2521-01,9.229,TCGA,Primary Tumor,Brain,Glioblastoma Multiforme
TCGA-W5-AA30-11,8.346,TCGA,Solid Tissue Normal,Bile duct,Cholangiocarcinoma
GTEX-13N2G-0011-R6b-SM-5MR3P,10.77,GTEX,Normal Tissue,Brain,Brain - Nucleus Accumbens (Basal Ganglia)
GTEX-12126-1126-SM-5P9GP,10.17,GTEX,Normal Tissue,Pituitary,Pituitary
TCGA-A3-3351-01,8.56,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
TCGA-A3-3311-01,10.54,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
GTEX-ZLV1-1326-SM-4WWER,12.78,GTEX,Normal Tissue,Colon,Colon - Sigmoid
GTEX-XUW1-0226-SM-4BOOS,10.73,GTEX,Normal Tissue,Uterus,Uterus
GTEX-12126-0526-SM-5PNW4,9.799,GTEX,Normal Tissue,Muscle,Muscle - Skeletal
GTEX-W5WG-1326-SM-4LMI9,10.64,GTEX,Normal Tissue,Uterus,Uterus
TCGA-HD-8224-01,12.73,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
GTEX-ZDXO-0011-R5a-SM-4WKG5,10.84,GTEX,Normal Tissue,Brain,Brain - Caudate (Basal Ganglia)
TCGA-DM-A0XF-01,10.68,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
TCGA-A1-A0SM-01,10.89,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-WWYW-0008-SM-4MVPF,11.94,GTEX,Cell Line,Skin,Cells - Transformed Fibroblasts
TCGA-L5-A4OF-11,9.006,TCGA,Solid Tissue Normal,Esophagus,Esophageal Carcinoma
TCGA-XF-A9SH-01,10.93,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
GTEX-131XH-0006-SM-5O98V,6.382,GTEX,Normal Tissue,Blood,Whole Blood
TCGA-EO-A3B0-01,10.94,TCGA,Primary Tumor,Endometrium,Uterine Corpus Endometrioid Carcinoma
GTEX-N7MS-0011-R6a-SM-2HMJ4,10.47,GTEX,Normal Tissue,Brain,Brain - Nucleus Accumbens (Basal Ganglia)
TCGA-DX-A6BH-01,12.13,TCGA,Primary Tumor,"Soft tissue,Bone",Sarcoma
TCGA-DX-A23T-01,10.87,TCGA,Primary Tumor,"Soft tissue,Bone",Sarcoma
GTEX-WOFL-0726-SM-3MJG4,10.45,GTEX,Normal Tissue,Thyroid,Thyroid
GTEX-1399T-0011-R4b-SM-5DUVX,10.58,GTEX,Normal Tissue,Brain,Brain - Amygdala
GTEX-O5YV-1826-SM-2YUNI,12.71,GTEX,Normal Tissue,Nerve,Nerve - Tibial
TCGA-HT-7680-01,11.08,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
TARGET-10-PAPDUV-09,5.688,TARGET,Primary Blood Derived Cancer - Bone Marrow,White blood cell,Acute Lymphoblastic Leukemia
TCGA-DB-A4X9-01,11.08,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
TCGA-V1-A8MF-01,10.23,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TCGA-EL-A3CN-01,11.45,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
GTEX-1477Z-1526-SM-5SI9V,13.22,GTEX,Normal Tissue,Nerve,Nerve - Tibial
GTEX-WQUQ-1626-SM-4OOSH,11.95,GTEX,Normal Tissue,Esophagus,Esophagus - Mucosa
TCGA-SR-A6N0-01,10.12,TCGA,Primary Tumor,Paraganglia,Pheochromocytoma & Paraganglioma
GTEX-NPJ7-0011-R4a-SM-2I3GJ,11.0,GTEX,Normal Tissue,Brain,Brain - Amygdala
TCGA-CN-4730-01,10.76,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
GTEX-WQUQ-2526-SM-4MVNO,12.94,GTEX,Normal Tissue,Colon,Colon - Transverse
TCGA-AB-2986-03,7.433,TCGA,Primary Blood Derived Cancer - Peripheral Blood,White blood cell,Acute Myeloid Leukemia
TCGA-OR-A5JB-01,11.47,TCGA,Primary Tumor,Adrenal gland,Adrenocortical Cancer
TCGA-ET-A3DW-01,11.62,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-AD-6899-01,10.31,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
GTEX-13OVH-0011-R3a-SM-5KM49,10.82,GTEX,Normal Tissue,Brain,Brain - Anterior Cingulate Cortex (Ba24)
TCGA-GL-A9DD-01,11.54,TCGA,Primary Tumor,Kidney,Kidney Papillary Cell Carcinoma
GTEX-P44G-0011-R4A-SM-2I3FB,10.61,GTEX,Normal Tissue,Brain,Brain - Amygdala
GTEX-146FH-1626-SM-5NQ9H,12.49,GTEX,Normal Tissue,Esophagus,Esophagus - Muscularis
TCGA-43-2578-01,10.15,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
TCGA-33-6738-01,11.59,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
TARGET-30-PARJVP-01,9.615,TARGET,Primary Solid Tumor,Sympathetic�Nervous System,Neuroblastoma
TCGA-HC-7740-11,10.72,TCGA,Solid Tissue Normal,Prostate,Prostate Adenocarcinoma
TCGA-AQ-A04H-01,7.463,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-HZ-A49I-01,12.03,TCGA,Primary Tumor,Pancreas,Pancreatic Adenocarcinoma
TCGA-BT-A20Q-01,12.82,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
TCGA-B9-7268-01,11.19,TCGA,Primary Tumor,Kidney,Kidney Papillary Cell Carcinoma
TCGA-B6-A0RS-01,9.35,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-3H-AB3K-01,12.08,TCGA,Primary Tumor,Lining of body cavities,Mesothelioma
GTEX-13D11-0226-SM-5LZXL,10.43,GTEX,Normal Tissue,Thyroid,Thyroid
GTEX-ZV6S-0926-SM-57WGB,11.06,GTEX,Normal Tissue,Stomach,Stomach
TCGA-XD-AAUG-01,12.23,TCGA,Primary Tumor,Pancreas,Pancreatic Adenocarcinoma
GTEX-13PDP-0011-R6b-SM-5O9D5,11.09,GTEX,Normal Tissue,Brain,Brain - Nucleus Accumbens (Basal Ganglia)
GTEX-145LV-1226-SM-5S2QH,11.9,GTEX,Normal Tissue,Prostate,Prostate
GTEX-14ABY-2126-SM-5QGQZ,11.58,GTEX,Normal Tissue,Breast,Breast - Mammary Tissue
TCGA-ZG-A9KY-01,10.23,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TCGA-CQ-6224-01,12.67,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
GTEX-ZE9C-2826-SM-5S2MO,11.28,GTEX,Normal Tissue,Adipose Tissue,Adipose - Subcutaneous
GTEX-1122O-0626-SM-5N9B9,10.4,GTEX,Normal Tissue,Heart,Heart - Atrial Appendage
TCGA-HZ-8001-01,12.35,TCGA,Primary Tumor,Pancreas,Pancreatic Adenocarcinoma
GTEX-X4LF-0226-SM-4QAS8,8.684,GTEX,Normal Tissue,Spleen,Spleen
GTEX-YJ89-2926-SM-5P9IT,9.497,GTEX,Normal Tissue,Brain,Brain - Cerebellum
TCGA-97-7937-01,11.0,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
TCGA-CJ-4901-01,11.04,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
TCGA-BQ-5891-01,12.13,TCGA,Primary Tumor,Kidney,Kidney Papillary Cell Carcinoma
TARGET-20-PANZKA-09,8.491,TARGET,Primary Blood Derived Cancer - Bone Marrow,White blood cell,Acute Myeloid Leukemia
TARGET-21-PATKWH-09,0.0,TARGET,Primary Blood Derived Cancer - Bone Marrow,White blood cell,"Acute Myeloid Leukemia, Induction Failure Subproject"
TCGA-EL-A3GO-01,10.35,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-AZ-6603-01,9.35,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
TCGA-LL-A6FP-01,12.5,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-A2-A0T5-01,10.27,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-Y114-1126-SM-4TT7V,10.97,GTEX,Normal Tissue,Esophagus,Esophagus - Gastroesophageal Junction
TCGA-VQ-A8E7-01,10.44,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
GTEX-P4PQ-0008-SM-48TDX,11.66,GTEX,Cell Line,Skin,Cells - Transformed Fibroblasts
GTEX-13NYC-2826-SM-5K7WR,10.41,GTEX,Normal Tissue,Brain,Brain - Cortex
GTEX-145MH-1526-SM-5LUAU,11.21,GTEX,Normal Tissue,Blood Vessel,Artery - Tibial
GTEX-13NZ9-2026-SM-5KM1U,10.96,GTEX,Normal Tissue,Adipose Tissue,Adipose - Visceral (Omentum)
GTEX-N7MS-0011-R7a-SM-2HMKN,10.09,GTEX,Normal Tissue,Brain,Brain - Putamen (Basal Ganglia)
TCGA-RD-A8N6-01,11.03,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
TCGA-63-A5MP-01,10.63,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
GTEX-111FC-1926-SM-5GZYC,9.711,GTEX,Normal Tissue,Testis,Testis
TCGA-K6-A3WQ-01,10.49,TCGA,Primary Tumor,Endometrium,Uterine Corpus Endometrioid Carcinoma
GTEX-N7MS-0526-SM-4E3JP,13.34,GTEX,Normal Tissue,Nerve,Nerve - Tibial
TCGA-A6-A5ZU-01,11.09,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
TCGA-BR-6454-01,11.45,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
TARGET-50-CAAAAJ-01,8.335,TARGET,Primary Solid Tumor,Kidney,Wilms Tumor
TCGA-DD-A1EE-11,8.311,TCGA,Solid Tissue Normal,Liver,Liver Hepatocellular Carcinoma
TCGA-EB-A6R0-01,11.94,TCGA,Primary Tumor,Skin,Skin Cutaneous Melanoma
TCGA-CC-A5UE-01,3.979,TCGA,Primary Tumor,Liver,Liver Hepatocellular Carcinoma
GTEX-Y5V6-1226-SM-4VDTE,11.98,GTEX,Normal Tissue,Esophagus,Esophagus - Gastroesophageal Junction
TCGA-CZ-5458-11,9.202,TCGA,Solid Tissue Normal,Kidney,Kidney Clear Cell Carcinoma
GTEX-WL46-2926-SM-3LK82,11.07,GTEX,Normal Tissue,Brain,Brain - Cortex
TCGA-VN-A88O-01,9.694,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TCGA-EJ-5502-01,10.47,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TCGA-DD-A1EB-11,7.671,TCGA,Solid Tissue Normal,Liver,Liver Hepatocellular Carcinoma
GTEX-SUCS-1426-SM-4DM5W,10.43,GTEX,Normal Tissue,Pancreas,Pancreas
TCGA-TQ-A7RI-01,10.41,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
TCGA-DR-A0ZM-01,14.59,TCGA,Primary Tumor,Cervix,Cervical & Endocervical Cancer
TCGA-NH-A5IV-01,8.165,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
TCGA-A7-A4SF-01,10.16,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-33-4589-01,11.32,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
GTEX-13SLW-0011-R2b-SM-5O9C6,11.54,GTEX,Normal Tissue,Brain,Brain - Substantia Nigra
TCGA-XF-A9T4-01,12.5,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
TCGA-MA-AA43-01,11.08,TCGA,Primary Tumor,Cervix,Cervical & Endocervical Cancer
TARGET-20-PANUTB-09,3.931,TARGET,Primary Blood Derived Cancer - Bone Marrow,White blood cell,Acute Myeloid Leukemia
GTEX-U3ZN-0008-SM-4DXTL,12.64,GTEX,Cell Line,Skin,Cells - Transformed Fibroblasts
TCGA-2G-AAH0-01,15.23,TCGA,Primary Tumor,Testis,Testicular Germ Cell Tumor
TCGA-B6-A402-01,10.38,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-J2-A4AD-01,11.74,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
TCGA-A2-A25B-01,10.9,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-13FTZ-0226-SM-5K7X6,10.56,GTEX,Normal Tissue,Heart,Heart - Left Ventricle
TCGA-39-5037-01,11.68,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
GTEX-ZPIC-0005-SM-4WWEB,5.638,GTEX,Normal Tissue,Blood,Whole Blood
GTEX-ZZPU-2726-SM-5NQ8O,12.23,GTEX,Normal Tissue,Adipose Tissue,Adipose - Subcutaneous
TCGA-34-8454-11,10.89,TCGA,Solid Tissue Normal,Lung,Lung Squamous Cell Carcinoma
TARGET-20-PASGWH-09,4.167,TARGET,Primary Blood Derived Cancer - Bone Marrow,White blood cell,Acute Myeloid Leukemia
TCGA-97-A4LX-01,10.99,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
GTEX-1269C-2726-SM-5EGJ4,12.12,GTEX,Normal Tissue,Adipose Tissue,Adipose - Subcutaneous
TCGA-EM-A4FV-01,11.35,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-A2-A3XW-01,11.81,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-YD-A89C-06,10.22,TCGA,Metastatic,Skin,Skin Cutaneous Melanoma
TCGA-BC-A110-01,9.72,TCGA,Primary Tumor,Liver,Liver Hepatocellular Carcinoma
TCGA-GD-A6C6-01,13.76,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
GTEX-ZAJG-3026-SM-5HL92,9.259,GTEX,Normal Tissue,Brain,Brain - Cerebellum
TARGET-10-PAPGYC-09,6.609,TARGET,Primary Blood Derived Cancer - Bone Marrow,White blood cell,Acute Lymphoblastic Leukemia
TCGA-BH-A1FE-11,9.682,TCGA,Solid Tissue Normal,Breast,Breast Invasive Carcinoma
TCGA-2A-AAYU-01,9.848,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
GTEX-OIZH-1426-SM-3NB1O,11.14,GTEX,Normal Tissue,Colon,Colon - Transverse
TCGA-TM-A7CA-01,8.829,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
GTEX-12WSB-0626-SM-59HJO,11.44,GTEX,Normal Tissue,Breast,Breast - Mammary Tissue
GTEX-13S7M-1826-SM-5RQK6,10.23,GTEX,Normal Tissue,Stomach,Stomach
TCGA-CU-A0YR-01,11.82,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
GTEX-144GM-1326-SM-5LU5E,5.339,GTEX,Normal Tissue,Liver,Liver
GTEX-SIU8-0426-SM-4BRUE,11.53,GTEX,Normal Tissue,Blood Vessel,Artery - Tibial
TCGA-CA-6715-01,8.662,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
GTEX-131XF-2826-SM-5EGKH,11.67,GTEX,Normal Tissue,Salivary Gland,Minor Salivary Gland
TCGA-C5-A7UC-01,11.99,TCGA,Primary Tumor,Cervix,Cervical & Endocervical Cancer
TCGA-A1-A0SI-01,10.53,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-AB-2853-03,5.77,TCGA,Primary Blood Derived Cancer - Peripheral Blood,White blood cell,Acute Myeloid Leukemia
TCGA-YU-A90Q-01,12.64,TCGA,Primary Tumor,Testis,Testicular Germ Cell Tumor
GTEX-13D11-0526-SM-5LZYM,12.59,GTEX,Normal Tissue,Adipose Tissue,Adipose - Visceral (Omentum)
GTEX-PX3G-0426-SM-48U1C,11.15,GTEX,Normal Tissue,Blood Vessel,Artery - Aorta
TCGA-XE-AAOB-01,12.2,TCGA,Primary Tumor,Testis,Testicular Germ Cell Tumor
GTEX-PWCY-1326-SM-48TCU,8.866,GTEX,Normal Tissue,Ovary,Ovary
GTEX-Y8LW-0326-SM-4VBQ9,11.1,GTEX,Normal Tissue,Lung,Lung
TCGA-CJ-4643-01,10.61,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
TCGA-62-A46P-01,10.8,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
TCGA-QH-A86X-01,9.736,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
GTEX-13S86-1226-SM-5S2OA,12.91,GTEX,Normal Tissue,Breast,Breast - Mammary Tissue
TCGA-64-1678-01,8.16,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
TCGA-EE-A29X-06,8.434,TCGA,Metastatic,Skin,Skin Cutaneous Melanoma
TCGA-C5-A7XC-01,11.67,TCGA,Primary Tumor,Cervix,Cervical & Endocervical Cancer
TCGA-CL-5917-01,9.671,TCGA,Primary Tumor,Rectum,Rectum Adenocarcinoma
GTEX-RTLS-0226-SM-2TF5E,11.98,GTEX,Normal Tissue,Adipose Tissue,Adipose - Subcutaneous
GTEX-12WSD-1326-SM-5GCNU,11.32,GTEX,Normal Tissue,Blood Vessel,Artery - Aorta
TARGET-21-PASDKZ-41,0.0,TARGET,Post treatment Blood Cancer - Bone Marrow,White blood cell,"Acute Myeloid Leukemia, Induction Failure Subproject"
GTEX-13VXT-1926-SM-5K7UO,10.43,GTEX,Normal Tissue,Skin,Skin - Not Sun Exposed (Suprapubic)
GTEX-XOTO-0826-SM-4B65O,8.376,GTEX,Normal Tissue,Liver,Liver
GTEX-U3ZN-0006-SM-3DB7Y,6.58,GTEX,Normal Tissue,Blood,Whole Blood
TCGA-DX-A7ER-01,9.085,TCGA,Primary Tumor,"Soft tissue,Bone",Sarcoma
GTEX-ZZ64-0326-SM-5E45S,11.15,GTEX,Normal Tissue,Esophagus,Esophagus - Muscularis
TCGA-DU-A76R-01,10.17,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
TCGA-DH-5144-01,9.656,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
GTEX-WL46-0011-R11A-SM-3MJFT,9.393,GTEX,Normal Tissue,Brain,Brain - Cerebellar Hemisphere
GTEX-13JVG-1426-SM-5MR4W,10.96,GTEX,Normal Tissue,Lung,Lung
GTEX-S341-1226-SM-4AD5S,11.05,GTEX,Normal Tissue,Vagina,Vagina
TCGA-04-1536-01,13.01,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
GTEX-13SLX-0526-SM-5S2ON,11.3,GTEX,Normal Tissue,Skin,Skin - Sun Exposed (Lower Leg)
TCGA-AQ-A04L-01,10.69,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-ZVP2-0226-SM-57WBD,12.75,GTEX,Normal Tissue,Adipose Tissue,Adipose - Visceral (Omentum)
TCGA-91-6836-11,11.16,TCGA,Solid Tissue Normal,Lung,Lung Adenocarcinoma
TCGA-K1-A42X-02,12.37,TCGA,Recurrent Tumor,"Soft tissue,Bone",Sarcoma
TCGA-DV-A4VX-01,11.27,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
TCGA-KM-8442-01,10.28,TCGA,Primary Tumor,Kidney,Kidney Chromophobe
TCGA-K1-A42X-01,12.59,TCGA,Primary Tumor,"Soft tissue,Bone",Sarcoma
TCGA-BB-7861-01,10.45,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
TCGA-AB-2993-03,5.706,TCGA,Primary Blood Derived Cancer - Peripheral Blood,White blood cell,Acute Myeloid Leukemia
TCGA-ZH-A8Y1-01,11.78,TCGA,Primary Tumor,Bile duct,Cholangiocarcinoma
GTEX-WYVS-1126-SM-4SOJX,12.0,GTEX,Normal Tissue,Colon,Colon - Sigmoid
TCGA-LG-A9QD-01,9.123,TCGA,Primary Tumor,Liver,Liver Hepatocellular Carcinoma
TCGA-55-7816-01,10.26,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
TCGA-25-2399-01,11.49,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
TCGA-AB-2842-03,6.595,TCGA,Primary Blood Derived Cancer - Peripheral Blood,White blood cell,Acute Myeloid Leukemia
TARGET-30-PAMZGT-01,10.29,TARGET,Primary Solid Tumor,Sympathetic�Nervous System,Neuroblastoma
TCGA-CC-A7IK-01,5.238,TCGA,Primary Tumor,Liver,Liver Hepatocellular Carcinoma
TCGA-G7-6793-01,11.95,TCGA,Primary Tumor,Kidney,Kidney Papillary Cell Carcinoma
TARGET-50-PAJPDN-01,10.09,TARGET,Primary Solid Tumor,Kidney,Wilms Tumor
TCGA-P4-A5EB-01,10.84,TCGA,Primary Tumor,Kidney,Kidney Papillary Cell Carcinoma
GTEX-XUW1-2326-SM-4BOO5,12.79,GTEX,Normal Tissue,Breast,Breast - Mammary Tissue
TCGA-MI-A75H-01,9.581,TCGA,Primary Tumor,Liver,Liver Hepatocellular Carcinoma
TCGA-CV-A6JZ-01,11.51,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
TCGA-GE-A2C6-11,8.608,TCGA,Solid Tissue Normal,Thyroid Gland,Thyroid Carcinoma
TCGA-34-2600-01,12.25,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
GTEX-XYKS-2226-SM-4E3IU,12.05,GTEX,Normal Tissue,Colon,Colon - Transverse
TCGA-E2-A14N-01,7.014,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-B9-5156-01,10.6,TCGA,Primary Tumor,Kidney,Kidney Papillary Cell Carcinoma
TARGET-30-PASGUT-01,9.943,TARGET,Primary Solid Tumor,Sympathetic�Nervous System,Neuroblastoma
GTEX-13IVO-0011-R5a-SM-5L3CY,10.19,GTEX,Normal Tissue,Brain,Brain - Caudate (Basal Ganglia)
GTEX-1399S-0126-SM-5IJCF,11.7,GTEX,Normal Tissue,Skin,Skin - Not Sun Exposed (Suprapubic)
TCGA-85-7844-01,11.48,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
TCGA-2G-AAKM-01,12.97,TCGA,Primary Tumor,Testis,Testicular Germ Cell Tumor
GTEX-WHSE-0011-R5A-SM-3P5ZO,10.63,GTEX,Normal Tissue,Brain,Brain - Caudate (Basal Ganglia)
GTEX-131XE-2626-SM-5PNYY,11.32,GTEX,Normal Tissue,Blood Vessel,Artery - Tibial
GTEX-OOBK-0425-SM-3LK5O,12.14,GTEX,Normal Tissue,Blood Vessel,Artery - Aorta
TCGA-BH-A18V-11,11.56,TCGA,Solid Tissue Normal,Breast,Breast Invasive Carcinoma
TCGA-A8-A06Z-01,7.198,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-85-A4JC-01,13.04,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
TCGA-D7-6822-01,9.574,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
GTEX-SIU8-0826-SM-2XCDQ,11.79,GTEX,Normal Tissue,Heart,Heart - Left Ventricle
GTEX-R45C-0008-SM-48FF2,12.14,GTEX,Cell Line,Skin,Cells - Transformed Fibroblasts
TCGA-D5-6932-01,9.354,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
TCGA-RD-A8N2-01,12.02,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
GTEX-QESD-1426-SM-2S1R9,11.09,GTEX,Normal Tissue,Skin,Skin - Sun Exposed (Lower Leg)
TCGA-2G-AAHG-01,11.89,TCGA,Primary Tumor,Testis,Testicular Germ Cell Tumor
TCGA-IB-7644-01,10.97,TCGA,Primary Tumor,Pancreas,Pancreatic Adenocarcinoma
GTEX-146FH-1726-SM-5QGQ2,12.07,GTEX,Normal Tissue,Esophagus,Esophagus - Mucosa
TCGA-CD-5799-01,10.09,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
GTEX-WXYG-2026-SM-4E3IY,11.44,GTEX,Normal Tissue,Skin,Skin - Not Sun Exposed (Suprapubic)
TCGA-AJ-A5DW-01,9.043,TCGA,Primary Tumor,Endometrium,Uterine Corpus Endometrioid Carcinoma
GTEX-PWCY-2026-SM-2S1NF,10.77,GTEX,Normal Tissue,Muscle,Muscle - Skeletal
TCGA-ZR-A9CJ-01,11.52,TCGA,Primary Tumor,Esophagus,Esophageal Carcinoma
TCGA-GS-A9TY-01,9.552,TCGA,Primary Tumor,Lymphatic tissue,Diffuse Large B-Cell Lymphoma
GTEX-131YS-2226-SM-5P9G8,9.929,GTEX,Normal Tissue,Ovary,Ovary
TCGA-KS-A4IC-01,11.97,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-A6-2685-11,8.323,TCGA,Solid Tissue Normal,Colon,Colon Adenocarcinoma
TCGA-55-7728-01,11.47,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
GTEX-Y8E4-1226-SM-5IFIM,11.09,GTEX,Normal Tissue,Adipose Tissue,Adipose - Visceral (Omentum)
TARGET-30-PARZIP-01,10.9,TARGET,Primary Solid Tumor,Sympathetic�Nervous System,Neuroblastoma
GTEX-11ZUS-0011-R9b-SM-5BC76,12.14,GTEX,Normal Tissue,Brain,Brain - Spinal Cord (Cervical C-1)
GTEX-T5JW-0726-SM-4DM6D,10.63,GTEX,Normal Tissue,Cervix Uteri,Cervix - Ectocervix
TCGA-A4-8516-01,10.29,TCGA,Primary Tumor,Kidney,Kidney Papillary Cell Carcinoma
GTEX-11TT1-1426-SM-5EGIA,10.04,GTEX,Normal Tissue,Heart,Heart - Atrial Appendage
TCGA-A1-A0SB-01,10.81,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-KL-8339-11,9.163,TCGA,Solid Tissue Normal,Kidney,Kidney Chromophobe
TCGA-EM-A1YD-01,9.344,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-LN-A49S-01,12.34,TCGA,Primary Tumor,Esophagus,Esophageal Carcinoma
GTEX-WY7C-2326-SM-3NB2U,11.26,GTEX,Normal Tissue,Skin,Skin - Sun Exposed (Lower Leg)
TCGA-BH-A0GZ-01,11.58,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-BP-5196-01,12.75,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
GTEX-WL46-0326-SM-3LK6Y,11.78,GTEX,Normal Tissue,Adipose Tissue,Adipose - Subcutaneous
GTEX-S3XE-1526-SM-4AD5A,9.506,GTEX,Normal Tissue,Testis,Testis
GTEX-1399R-1926-SM-5K7X8,9.822,GTEX,Normal Tissue,Heart,Heart - Left Ventricle
GTEX-139TT-2126-SM-5LZWC,11.24,GTEX,Normal Tissue,Skin,Skin - Not Sun Exposed (Suprapubic)
TCGA-49-4510-01,10.2,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
TCGA-09-0366-01,11.24,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
TCGA-2Z-A9JI-01,11.65,TCGA,Primary Tumor,Kidney,Kidney Papillary Cell Carcinoma
GTEX-11P81-2626-SM-5GU6T,12.92,GTEX,Normal Tissue,Nerve,Nerve - Tibial
GTEX-13N11-0126-SM-5KM2Z,8.507,GTEX,Normal Tissue,Spleen,Spleen
GTEX-11NUK-0426-SM-5HL5V,12.86,GTEX,Normal Tissue,Nerve,Nerve - Tibial
GTEX-QVJO-0326-SM-2S1R1,12.77,GTEX,Normal Tissue,Nerve,Nerve - Tibial
GTEX-14753-2526-SM-5LU97,9.609,GTEX,Normal Tissue,Adipose Tissue,Adipose - Visceral (Omentum)
TCGA-KN-8432-11,10.06,TCGA,Solid Tissue Normal,Kidney,Kidney Chromophobe
