sample,PHLDA3,study,stype,site,disease
TCGA-OR-A5KU-01,10.56,TCGA,Primary Tumor,Adrenal gland,Adrenocortical Cancer
TCGA-C5-A3HF-01,11.23,TCGA,Primary Tumor,Cervix,Cervical & Endocervical Cancer
TCGA-BF-A1Q0-01,9.325,TCGA,Primary Tumor,Skin,Skin Cutaneous Melanoma
TCGA-ET-A25K-01,10.76,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-EM-A1CW-01,10.88,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TARGET-50-PALFME-01,10.37,TARGET,Primary Solid Tumor,Kidney,Wilms Tumor
GTEX-TMZS-0126-SM-3DB9Q,11.79,GTEX,Normal Tissue,Skin,Skin - Sun Exposed (Lower Leg)
GTEX-RU72-0011-R7A-SM-2TF5U,10.18,GTEX,Normal Tissue,Brain,Brain - Putamen (Basal Ganglia)
TARGET-50-PALFME-02,10.17,TARGET,Recurrent Solid Tumor,Kidney,Wilms Tumor
GTEX-ZV7C-2026-SM-5NQ8F,9.258,GTEX,Normal Tissue,Testis,Testis
GTEX-13OVI-1426-SM-5L3EY,11.03,GTEX,Normal Tissue,Skin,Skin - Sun Exposed (Lower Leg)
GTEX-11DXX-1226-SM-5GICD,11.62,GTEX,Normal Tissue,Esophagus,Esophagus - Gastroesophageal Junction
GTEX-WXYG-1226-SM-4ONCJ,11.22,GTEX,Normal Tissue,Esophagus,Esophagus - Mucosa
GTEX-11H98-0011-R11b-SM-5NQ6U,8.72,GTEX,Normal Tissue,Brain,Brain - Cerebellar Hemisphere
GTEX-13112-0126-SM-5P9IU,11.55,GTEX,Normal Tissue,Skin,Skin - Not Sun Exposed (Suprapubic)
TCGA-KN-8424-01,7.694,TCGA,Primary Tumor,Kidney,Kidney Chromophobe
GTEX-SN8G-0001-SM-3NM8L,8.307,GTEX,Cell Line,Blood,Cells - Ebv-Transformed Lymphocytes
GTEX-P4PP-1026-SM-3NM9O,8.652,GTEX,Normal Tissue,Pancreas,Pancreas
TCGA-AS-3777-01,10.18,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
GTEX-14C38-1226-SM-5S2UK,10.72,GTEX,Normal Tissue,Blood Vessel,Artery - Coronary
TCGA-A5-A2K7-01,10.55,TCGA,Primary Tumor,Endometrium,Uterine Corpus Endometrioid Carcinoma
GTEX-PVOW-0426-SM-2XCF8,9.669,GTEX,Normal Tissue,Heart,Heart - Left Ventricle
GTEX-12KS4-2126-SM-5FQUT,11.65,GTEX,Normal Tissue,Skin,Skin - Not Sun Exposed (Suprapubic)
TCGA-LK-A4NY-01,11.99,TCGA,Primary Tumor,Lining of body cavities,Mesothelioma
GTEX-PWN1-1526-SM-48TDA,9.257,GTEX,Normal Tissue,Stomach,Stomach
GTEX-ZTSS-0726-SM-51MSN,11.83,GTEX,Normal Tissue,Esophagus,Esophagus - Muscularis
GTEX-OXRN-2626-SM-48TBX,10.05,GTEX,Normal Tissue,Pituitary,Pituitary
TCGA-BR-7715-11,9.821,TCGA,Solid Tissue Normal,Stomach,Stomach Adenocarcinoma
TCGA-BH-A0DO-11,10.67,TCGA,Solid Tissue Normal,Breast,Breast Invasive Carcinoma
TCGA-XF-A9SZ-01,13.2,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
TCGA-B4-5836-01,10.1,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
TCGA-4V-A9QN-01,13.99,TCGA,Primary Tumor,Thymus,Thymoma
TCGA-AB-2865-03,6.121,TCGA,Primary Blood Derived Cancer - Peripheral Blood,White blood cell,Acute Myeloid Leukemia
TCGA-85-8580-01,10.35,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
GTEX-146FR-1326-SM-5SIAJ,10.65,GTEX,Normal Tissue,Skin,Skin - Sun Exposed (Lower Leg)
TCGA-CD-8534-01,10.74,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
TCGA-YH-A8SY-01,12.28,TCGA,Primary Tumor,Pancreas,Pancreatic Adenocarcinoma
TCGA-EM-A4FN-01,12.48,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-AR-A2LJ-01,12.06,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-1117F-0726-SM-5GIEN,10.08,GTEX,Normal Tissue,Heart,Heart - Atrial Appendage
GTEX-Q2AI-0008-SM-48U2H,13.01,GTEX,Cell Line,Skin,Cells - Transformed Fibroblasts
TCGA-K1-A6RT-01,10.62,TCGA,Primary Tumor,"Soft tissue,Bone",Sarcoma
TCGA-HT-A5R9-01,10.25,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
TCGA-EJ-7786-01,10.02,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TCGA-L1-A7W4-01,12.04,TCGA,Primary Tumor,Pancreas,Pancreatic Adenocarcinoma
GTEX-14BIM-3126-SM-5Q5C7,9.232,GTEX,Normal Tissue,Brain,Brain - Cerebellum
TCGA-FG-7634-01,9.762,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
TCGA-F5-6810-01,9.83,TCGA,Primary Tumor,Rectum,Rectum Adenocarcinoma
GTEX-11TUW-0926-SM-5EQMW,11.0,GTEX,Normal Tissue,Blood Vessel,Artery - Aorta
GTEX-X3Y1-1726-SM-4PQZL,11.03,GTEX,Normal Tissue,Colon,Colon - Transverse
TCGA-EL-A4JX-01,12.54,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
GTEX-11GSP-0011-R7b-SM-57WC3,10.31,GTEX,Normal Tissue,Brain,Brain - Putamen (Basal Ganglia)
GTEX-OXRL-1626-SM-2YUMU,10.02,GTEX,Normal Tissue,Muscle,Muscle - Skeletal
GTEX-R55G-0006-SM-2TC6O,5.122,GTEX,Normal Tissue,Blood,Whole Blood
TCGA-BC-A216-01,6.369,TCGA,Primary Tumor,Liver,Liver Hepatocellular Carcinoma
GTEX-WWYW-0826-SM-3NB2X,10.14,GTEX,Normal Tissue,Thyroid,Thyroid
GTEX-ZT9W-0008-SM-4YCDJ,11.15,GTEX,Cell Line,Skin,Cells - Transformed Fibroblasts
GTEX-13FTW-0926-SM-5J2NJ,11.13,GTEX,Normal Tissue,Blood Vessel,Artery - Coronary
GTEX-YEC3-2526-101809-SM-5CVLT,10.87,GTEX,Normal Tissue,,Esophagus - Mucosa
TCGA-ED-A82E-01,11.83,TCGA,Primary Tumor,Liver,Liver Hepatocellular Carcinoma
TCGA-EB-A4OY-01,14.23,TCGA,Primary Tumor,Skin,Skin Cutaneous Melanoma
TCGA-CQ-5333-01,12.87,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
TCGA-EE-A20C-06,11.03,TCGA,Metastatic,Skin,Skin Cutaneous Melanoma
TCGA-EJ-A7NF-01,9.637,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TCGA-OR-A5LB-01,9.403,TCGA,Primary Tumor,Adrenal gland,Adrenocortical Cancer
TCGA-GL-7966-01,12.1,TCGA,Primary Tumor,Kidney,Kidney Papillary Cell Carcinoma
TCGA-63-7022-01,11.15,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
GTEX-145MF-1026-SM-5Q5EQ,12.51,GTEX,Normal Tissue,Adipose Tissue,Adipose - Visceral (Omentum)
TCGA-2J-AAB4-01,11.14,TCGA,Primary Tumor,Pancreas,Pancreatic Adenocarcinoma
TCGA-AR-A0TP-01,9.91,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-RU1J-0826-SM-46MUU,8.957,GTEX,Normal Tissue,Ovary,Ovary
TARGET-50-PAJLIP-01,8.635,TARGET,Primary Solid Tumor,Kidney,Wilms Tumor
GTEX-P4QR-0326-SM-5SI8P,11.64,GTEX,Normal Tissue,Skin,Skin - Sun Exposed (Lower Leg)
GTEX-13D11-1726-SM-5IFGQ,9.705,GTEX,Normal Tissue,Heart,Heart - Left Ventricle
GTEX-13OVL-0011-R8a-SM-5L3HH,11.08,GTEX,Normal Tissue,Brain,Brain - Hypothalamus
GTEX-PLZ6-1226-SM-3P5ZS,10.13,GTEX,Normal Tissue,Testis,Testis
TCGA-B0-5705-01,9.892,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
TCGA-DJ-A1QE-01,12.09,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-S7-A7WN-01,10.48,TCGA,Primary Tumor,Paraganglia,Pheochromocytoma & Paraganglioma
TCGA-18-3408-01,9.845,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
