sample,beta
TCGA-BJ-A4O9-01A,0.836136151311936
TCGA-EM-A3ST-11A,0.8250928582525
TCGA-ET-A3BT-01A,0.24791397421041
TCGA-EM-A2OY-01A,0.840635090932127
TCGA-FY-A3R9-01A,0.732782173241988
TCGA-DJ-A3UK-01A,0.650945441614974
TCGA-ET-A39S-01A,0.462359621932173
TCGA-EL-A4KG-01A,0.349097502544383
TCGA-EL-A3GP-01A,0.276473350932356
TCGA-E3-A3DY-01A,0.513015935999701
TCGA-EL-A3ZL-01A,0.442452139554959
TCGA-DJ-A2Q1-01A,0.39962461786827
TCGA-EL-A3H7-11A,0.772515178829075
TCGA-J8-A3O1-01A,0.175642881507933
TCGA-E8-A3X7-01A,0.220039507963723
TCGA-EM-A3SU-01A,0.382171646256519
TCGA-DJ-A2PN-01A,0.326244517325106
TCGA-EM-A3SU-06A,0.536588424625479
TCGA-BJ-A2NA-11A,0.737728663995176
