ensembl,log2FC_tumor_vs_normal,AUC,AUC_disc,pval,mean_logCPM_tumor,FDR,symbol,gene_type
ENSG00000173894,0.7902570128893516,0.9404451160873747,0.9404451160873747,4.207201623882574e-28,1.8175781727617573,4.408704438500108e-26,CBX2,protein-coding
ENSG00000187122,3.6988083378951977,0.9403077345789257,0.9403077345789257,4.370085340405661e-28,4.43797596840498,4.549458777907279e-26,SLIT1,protein-coding
ENSG00000223914,2.481181172119822,0.9402733892018135,0.9402733892018135,4.402895271942865e-28,2.6821879782071205,4.55385168126662e-26,LINC02471,ncRNA
ENSG00000120254,1.1244588629004055,0.9402390438247012,0.9402390438247012,4.453857473367476e-28,4.393712302241876,4.576841408761107e-26,MTHFD1L,protein-coding
ENSG00000173535,1.688877251742212,0.9402046984475889,0.9402046984475889,4.496338913435398e-28,3.0861849192608943,4.590877321358912e-26,TNFRSF10C,protein-coding
ENSG00000231856,-0.990803001800707,0.059829646929523285,0.9401703530704767,4.539222238259936e-28,1.4961222325807795,4.60514215356715e-26,,
ENSG00000166352,-1.8983993293422694,0.06000137381508449,0.9399986261849156,4.759800322170371e-28,3.1008736475485197,4.768182360473564e-26,IFTAP,protein-coding
ENSG00000134574,1.1032700350328142,0.9399986261849155,0.9399986261849155,4.759800322170371e-28,4.340924702416683,4.768182360473564e-26,DDB2,protein-coding
ENSG00000165886,0.966466011133734,0.939929935430691,0.939929935430691,4.850979434823357e-28,4.411865854131113,4.7715584388844975e-26,UBTD1,protein-coding
ENSG00000271614,-1.0183379779091546,0.060070064569308974,0.939929935430691,4.850979434823357e-28,1.2900716145597981,4.7715584388844975e-26,ATP2B1-AS1,ncRNA
ENSG00000063127,-0.8381055447899316,0.06010440994642121,0.9398955900535788,4.897216548728554e-28,0.5662265502803915,4.785451852033645e-26,SLC6A16,protein-coding
ENSG00000227199,-1.17384607712388,0.06013875532353345,0.9398612446764665,4.943890768369953e-28,1.3706833126593305,4.8016031804022324e-26,ST7-AS1,ncRNA
ENSG00000129925,0.7970438971278462,0.9398268992993543,0.9398268992993543,4.991006191342732e-28,6.0537764620778445,4.817984643376184e-26,PGAP6,protein-coding
ENSG00000137142,-2.2279725090352307,0.06031048220909466,0.9396895177909054,5.183855720789223e-28,0.8811468673075763,4.974003248236792e-26,IGFBPL1,protein-coding
ENSG00000168487,1.2828875922946947,0.9394834455282319,0.9394834455282319,5.487355761316204e-28,5.852125343146272,5.233688776421826e-26,BMP1,protein-coding
ENSG00000145362,-2.641514101968945,0.06065393598021706,0.9393460640197829,5.699335963590245e-28,2.634546141731823,5.403513287384846e-26,ANK2,protein-coding
ENSG00000159166,1.9928724490453646,0.938933919494436,0.938933919494436,6.385241006899627e-28,4.743960090114113,6.017995192774986e-26,LAD1,protein-coding
ENSG00000114698,-1.5660127554897971,0.06110042588267619,0.9388995741173238,6.44596569109226e-28,3.8055946922073827,6.03949067810103e-26,PLSCR4,protein-coding
ENSG00000160182,-0.7880619032244951,0.0616156065393598,0.9383843934606402,1.601511733609459e-29,0.11336191932145954,3.4125663786158175e-27,TFF1,protein-coding
ENSG00000044524,-2.1783293172667277,0.0616156065393598,0.9383843934606402,7.428659291054758e-28,2.61333348272925,6.8792840225535e-26,EPHA3,protein-coding
ENSG00000117308,2.574387036047259,0.9383157027064157,0.9383157027064157,7.570444609087152e-28,5.317514320652452,6.890402384773724e-26,GALE,protein-coding
ENSG00000107281,1.5912897406237319,0.9383157027064157,0.9383157027064157,7.570444609087152e-28,5.759670682227268,6.890402384773724e-26,NPDC1,protein-coding
ENSG00000102271,-1.0834233536172893,0.06168429729358428,0.9383157027064157,7.570288609753535e-28,0.4213030836515779,6.890402384773724e-26,KLHL4,protein-coding
ENSG00000142733,1.2052072652185455,0.938212666575079,0.938212666575079,7.788170151639031e-28,4.965601009372661,7.008473117248954e-26,MAP3K6,protein-coding
ENSG00000164761,-2.6886208771868576,0.06178733342492101,0.938212666575079,7.788170151639031e-28,4.091569014676131,7.008473117248954e-26,TNFRSF11B,protein-coding
ENSG00000137460,-1.6431413248443398,0.062199477950267895,0.9378005220497321,8.722944811633083e-28,4.439545805264083,7.761958936295627e-26,FHDC1,protein-coding
ENSG00000117707,-2.1881296050533634,0.062199477950267895,0.9378005220497321,8.722944811633083e-28,2.4047177461428615,7.761958936295627e-26,PROX1,protein-coding
ENSG00000116685,0.7471804976726721,0.9376631405412832,0.9376631405412832,9.05862387466839e-28,6.380159567227718,7.971589009708182e-26,KIAA2013,protein-coding
ENSG00000197766,-2.2533600554457136,0.06233685945871686,0.9376631405412832,9.05862387466839e-28,2.65513597236096,7.971589009708182e-26,CFD,protein-coding
ENSG00000132481,1.3910726522670083,0.937491413655722,0.937491413655722,9.49629034693656e-28,4.681159189240552,8.31081937615415e-26,TRIM47,protein-coding
ENSG00000147231,-1.0734345975727675,0.06261162247561478,0.9373883775243852,9.76889048007804e-28,1.6308307085563913,8.45646128079799e-26,RADX,protein-coding
ENSG00000185774,-1.724306936143132,0.06261162247561478,0.9373883775243852,9.76889048007804e-28,1.3021009757582995,8.45646128079799e-26,KCNIP4,protein-coding
ENSG00000279444,-1.009080285282249,0.06268031322983926,0.9373196867701608,7.274954547784782e-28,0.1973709973814957,6.776343627901521e-26,,
ENSG00000187642,1.2828674543313494,0.9371823052617118,0.9371823052617118,1.0337587707026664e-27,1.6017863528961043,8.900383621487606e-26,PERM1,protein-coding
ENSG00000163898,4.251350482968274,0.9370792691303751,0.9370792691303751,1.0634128837739034e-27,4.941447936793641,9.106473340188566e-26,LIPH,protein-coding
ENSG00000267712,-0.9938590592951244,0.06298942162384943,0.9370105783761505,1.0726928494439797e-27,0.28888926118784547,9.136819094087544e-26,LINC01539,ncRNA
ENSG00000164199,-2.5120869024033,0.06322983926363511,0.9367701607363649,1.1575318719471998e-27,1.8898888201916058,9.807004072539893e-26,ADGRV1,protein-coding
ENSG00000109182,-2.776344070407769,0.06333287539497184,0.9366671246050282,1.1907028304649572e-27,1.476251281772122,1.0034663853780867e-25,CWH43,protein-coding
