patient,cna,PHLDA3,cat
TCGA-FY-A3YR,0,5.850816069924806,Diploid
TCGA-FY-A40K,0,5.222700480837244,Diploid
TCGA-FY-A40L,1,6.342601576181217,Gain
TCGA-FY-A40M,0,6.711955198299987,Diploid
TCGA-FY-A40N,0,5.356719963211677,Diploid
TCGA-FY-A4B0,1,5.662615925527789,Gain
TCGA-FY-A4B3,0,6.696842402562147,Diploid
TCGA-FY-A4B4,0,6.27097050212134,Diploid
TCGA-FY-A76V,0,5.262703632908526,Diploid
TCGA-GE-A2C6,0,5.504798605550037,Diploid
TCGA-H2-A26U,1,6.595466132568702,Gain
TCGA-H2-A2K9,0,5.378669455459459,Diploid
TCGA-H2-A3RH,0,6.688714452500679,Diploid
TCGA-H2-A3RI,0,5.311238534241736,Diploid
TCGA-H2-A421,0,6.085822620170449,Diploid
TCGA-H2-A422,0,5.6430253044257475,Diploid
TCGA-IM-A3EB,1,6.697027496746833,Gain
TCGA-IM-A3ED,0,5.388754155078997,Diploid
TCGA-IM-A3U2,2,6.924060179746753,Amp
TCGA-IM-A3U3,0,5.918835680437543,Diploid
TCGA-IM-A41Y,0,5.695763675289302,Diploid
TCGA-IM-A41Z,0,4.982968579267923,Diploid
TCGA-IM-A420,0,6.084135839496382,Diploid
TCGA-IM-A4EB,0,6.112809695979109,Diploid
TCGA-J8-A3NZ,0,6.023347197574073,Diploid
TCGA-J8-A3O0,0,6.1609956579946505,Diploid
TCGA-J8-A3O1,1,5.851870303271293,Gain
TCGA-J8-A3O2,0,5.74590006078215,Diploid
TCGA-J8-A3YD,0,5.372061354805354,Diploid
TCGA-J8-A3YE,0,5.63997176457661,Diploid
TCGA-J8-A3YF,0,5.638106251896364,Diploid
TCGA-J8-A3YG,0,6.31062618292528,Diploid
TCGA-J8-A3YH,0,5.809385377982499,Diploid
TCGA-J8-A42S,0,6.052372324388427,Diploid
TCGA-J8-A4HW,0,5.8349252860221865,Diploid
TCGA-J8-A4HY,0,5.659973746177238,Diploid
TCGA-KS-A41F,0,6.048135890721269,Diploid
TCGA-KS-A41I,0,5.760594087719727,Diploid
TCGA-KS-A41J,0,6.403486142111411,Diploid
TCGA-KS-A41L,0,4.783282658891178,Diploid
TCGA-KS-A4I1,0,7.288942597156851,Diploid
TCGA-KS-A4I3,0,6.131491047643664,Diploid
TCGA-KS-A4I5,0,6.1832465083495,Diploid
TCGA-KS-A4I7,0,6.052734183309293,Diploid
TCGA-KS-A4I9,0,5.88085849091377,Diploid
TCGA-KS-A4IB,1,6.4985398607092835,Gain
TCGA-KS-A4IC,0,6.335046981254765,Diploid
TCGA-KS-A4ID,0,5.959015371883207,Diploid
TCGA-L6-A4EP,0,6.452756161541678,Diploid
TCGA-L6-A4EQ,0,5.90337051463349,Diploid
TCGA-L6-A4ET,0,5.733524864443349,Diploid
TCGA-L6-A4EU,1,7.236304204369493,Gain
TCGA-MK-A4N6,0,5.794824061734882,Diploid
TCGA-MK-A4N7,0,5.303417637126807,Diploid
TCGA-MK-A4N9,0,5.180652528524808,Diploid
TCGA-MK-A84Z,0,5.5089937748850195,Diploid
TCGA-QD-A8IV,0,4.886281934201158,Diploid
