Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,nlogq
GO_Biological_Process_2021,mitotic G1/S transition checkpoint signaling,2/12,0.0134021306472713,0.1731261534298196,0,0,13.21476510067114,56.986581028585974,PLK3;RPS27L,0.761637320152994
GO_Biological_Process_2021,positive regulation of pseudopodium assembly,2/12,0.0134021306472713,0.1731261534298196,0,0,13.21476510067114,56.986581028585974,CDC42EP5;CDC42EP1,0.761637320152994
GO_Biological_Process_2021,cell-substrate junction assembly,3/34,0.0141848003649159,0.1795472046190035,0,0,6.408927989573151,27.2737332328918,CD151;LAMB3;ITGB4,0.7458213520416236
GO_Biological_Process_2021,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,3/34,0.0141848003649159,0.1795472046190035,0,0,6.408927989573151,27.2737332328918,GPX1;TNFRSF10B;BCL2L1,0.7458213520416236
GO_Biological_Process_2021,neural tube closure,3/34,0.0141848003649159,0.1795472046190035,0,0,6.408927989573151,27.2737332328918,VASP;DVL1;GRHL3,0.7458213520416236
GO_Biological_Process_2021,negative regulation of peptidase activity,4/63,0.0147854871693709,0.1856908411466945,0,0,4.498625744388456,18.95770002870763,CST3;CSTB;SERPINA1;TIMP1,0.7312095164947071
GO_Biological_Process_2021,positive regulation of I-kappaB kinase/NF-kappaB signaling,7/171,0.0148670821914903,0.1856908411466945,0,0,2.8459169233330557,11.977342352931949,UNC5CL;LGALS1;SHISA5;TNFRSF10B;S100A4;RHOC;TNFRSF1A,0.7312095164947071
GO_Biological_Process_2021,cellular component maintenance,2/13,0.0156834761580532,0.1908324905425059,0,0,12.01281269066504,49.91500975932364,ITGA3;CLDN1,0.7193476817175919
GO_Biological_Process_2021,lipid oxidation,2/13,0.0156834761580532,0.1908324905425059,0,0,12.01281269066504,49.91500975932364,ALOX5;ALOX15B,0.7193476817175919
GO_Biological_Process_2021,positive regulation of cell aging,2/13,0.0156834761580532,0.1908324905425059,0,0,12.01281269066504,49.91500975932364,LMNA;HMGA1,0.7193476817175919
GO_Biological_Process_2021,positive regulation of vascular endothelial cell proliferation,2/13,0.0156834761580532,0.1908324905425059,0,0,12.01281269066504,49.91500975932364,MDK;SIRT6,0.7193476817175919
