sample,grp,celltype,PHLDA3,p53
PTC01,PTC,T cell,0.0,0.3503013234526646
PTC01,PTC,Malignant cell,0.0,0.44359588126014
PTC01,PTC,Malignant cell,0.0,0.24395908974762395
PTC01,PTC,Malignant cell,0.5008678811435961,0.6352927525399628
PTC01,PTC,Malignant cell,0.0,0.5292844427770814
PTC01,PTC,Myeloid cell,0.0,0.13131658018677583
PTC01,PTC,Malignant cell,0.0,0.4063558964188798
PTC01,PTC,Malignant cell,0.0,0.38999533096474104
PTC01,PTC,T cell,0.0,0.0
PTC01,PTC,Endothelial cell,0.0,0.11207891623600869
PTC01,PTC,Malignant cell,0.0,0.0983564274421962
PTC01,PTC,T cell,0.0,0.0
PTC01,PTC,Malignant cell,0.0,0.0
PTC01,PTC,Myeloid cell,0.0,0.4561407200552211
PTC01,PTC,Malignant cell,0.0,0.2292689350313337
PTC01,PTC,T cell,0.0,0.10160875279772824
PTC01,PTC,Malignant cell,0.0,0.10315550596128949
PTC01,PTC,Malignant cell,0.0,0.21451406580685306
PTC01,PTC,Myeloid cell,0.0,0.06560609937381862
PTC01,PTC,Malignant cell,0.0,0.17548737182012966
PTC01,PTC,Malignant cell,0.40896208544452445,0.4227286589338251
PTC01,PTC,Malignant cell,0.0,0.24024273543498342
PTC01,PTC,Myeloid cell,0.0,0.19502384429444242
PTC01,PTC,Fibroblast,0.0,0.33143039157696275
PTC01,PTC,Malignant cell,1.3074869563087537,0.4542863286035088
PTC01,PTC,T cell,0.0,0.18865208647495393
PTC01,PTC,Malignant cell,0.0,0.3730294848523355
PTC01,PTC,Malignant cell,0.0,0.3415814941996537
PTC01,PTC,Malignant cell,0.0,0.4928023514533106
PTC01,PTC,Malignant cell,0.0,0.2543727797377652
PTC01,PTC,Malignant cell,0.0,0.0
PTC01,PTC,Malignant cell,0.0,0.0
PTC01,PTC,Endothelial cell,0.0,0.17273352980612272
PTC01,PTC,Malignant cell,1.0313067030482623,0.5168352332625535
PTC01,PTC,Malignant cell,1.584010818632517,0.0
PTC01,PTC,Malignant cell,0.0,0.0
PTC01,PTC,Malignant cell,0.0,0.36585954482450295
PTC01,PTC,NK cell,0.0,0.23527250795493787
PTC01,PTC,Malignant cell,1.0379724710153337,0.21721507927470018
PTC01,PTC,Myeloid cell,0.0,0.3573348730207986
PTC01,PTC,T cell,0.0,0.2299798037528103
PTC01,PTC,Malignant cell,0.0,0.3009874271860753
PTC01,PTC,Endothelial cell,0.0,0.09489732761777994
PTC01,PTC,NK cell,0.0,0.10786870212655174
PTC01,PTC,Malignant cell,0.0,0.0
PTC01,PTC,Malignant cell,0.0,0.3238620494263291
PTC01,PTC,Myeloid cell,0.0,0.25365426603693153
PTC01,PTC,Malignant cell,0.0,0.31082258792207784
PTC01,PTC,Malignant cell,0.7443023438608752,0.6228379132892718
PTC01,PTC,T cell,0.0,0.11203184311804366
PTC01,PTC,Myeloid cell,0.0,0.2558177911850171
PTC01,PTC,Malignant cell,0.0,0.2747298808297186
PTC01,PTC,Malignant cell,0.0,0.4163163351329719
PTC01,PTC,Malignant cell,0.0,0.427554092300235
PTC01,PTC,Malignant cell,0.0,0.09392464449582372
PTC01,PTC,Malignant cell,0.0,0.0
PTC01,PTC,Malignant cell,0.0,0.44385476159729226
PTC01,PTC,Malignant cell,0.0,0.1687902033058413
PTC01,PTC,Malignant cell,0.0,0.25094740523991516
PTC01,PTC,Malignant cell,1.0736499941081958,0.11929444378979953
PTC01,PTC,T cell,0.0,0.211426956189586
PTC01,PTC,Malignant cell,0.0,0.1203249697093592
PTC01,PTC,Myeloid cell,0.0,0.0
PTC01,PTC,Malignant cell,0.0,0.29985322418993704
PTC01,PTC,Malignant cell,1.276194346714654,0.5727787222538091
PTC01,PTC,Malignant cell,0.0,0.1124160128295188
PTC01,PTC,Malignant cell,1.168235379177023,0.3716113209183089
PTC01,PTC,Malignant cell,0.0,0.4207012376653982
PTC01,PTC,Malignant cell,0.0,0.3841809523212306
PTC01,PTC,Malignant cell,1.3126250175279202,0.2832627816766208
PTC01,PTC,Malignant cell,2.2524109929035103,0.28577578254697256
PTC01,PTC,T cell,0.0,0.0
PTC01,PTC,Malignant cell,0.9959735160997852,0.5976461131081838
PTC01,PTC,Malignant cell,0.0,0.2888696923130496
PTC01,PTC,Malignant cell,0.3371708405870032,0.5896594450122166
PTC01,PTC,Malignant cell,0.0,0.2791965948407057
PTC01,PTC,Malignant cell,0.7643409791584709,0.17495826339883191
PTC01,PTC,Malignant cell,0.0,0.2198124759049357
PTC01,PTC,Malignant cell,0.0,0.2476129402978216
PTC01,PTC,Myeloid cell,0.0,0.2092906600538708
PTC01,PTC,Malignant cell,0.0,0.30775098382502275
PTC01,PTC,Malignant cell,0.0,0.18594624130620002
PTC01,PTC,Malignant cell,0.7298679131063672,0.39363742620755104
PTC01,PTC,NK cell,0.0,0.10957941655464093
PTC01,PTC,Malignant cell,0.0,0.4747388987290372
PTC01,PTC,Malignant cell,0.0,0.16079395772760338
PTC01,PTC,Malignant cell,0.0,0.202870411717726
PTC01,PTC,Endothelial cell,0.0,0.17075289179991873
PTC01,PTC,Malignant cell,1.336742610356879,0.0
PTC01,PTC,Malignant cell,0.0,0.11821160901316495
PTC01,PTC,T cell,0.0,0.0
PTC01,PTC,Malignant cell,0.0,0.5626405038022324
PTC01,PTC,Malignant cell,0.0,0.30617216584122775
PTC01,PTC,T cell,0.0,0.1133214417429164
PTC01,PTC,Malignant cell,0.0,0.34629822585282705
PTC01,PTC,Malignant cell,0.0,0.0
PTC01,PTC,T cell,0.0,0.3469673055168972
PTC01,PTC,Fibroblast,1.4444196255533213,0.1604910695059246
PTC01,PTC,Malignant cell,0.0,0.0
PTC01,PTC,T cell,0.0,0.2431929403014895
PTC01,PTC,Malignant cell,0.0,0.23025600119436757
PTC01,PTC,Myeloid cell,0.0,0.5201755391939717
PTC01,PTC,Malignant cell,0.0,0.0
PTC01,PTC,Malignant cell,1.0893651950353123,0.0
PTC01,PTC,Malignant cell,0.0,0.3453798121080699
PTC01,PTC,Malignant cell,1.0568277510819086,0.4280951257912578
PTC01,PTC,Malignant cell,1.0520745244420107,0.6195003572918948
PTC01,PTC,T cell,1.6415560262698943,0.21524469684453612
PTC01,PTC,T cell,0.0,0.11176607610383253
PTC01,PTC,Malignant cell,0.6028212496574148,0.39722706809412067
PTC01,PTC,Malignant cell,0.0,0.0
PTC01,PTC,Malignant cell,0.0,0.25547384926210115
PTC01,PTC,Myeloid cell,0.0,0.25502673737439274
PTC01,PTC,Myeloid cell,0.0,0.32262187300176315
PTC01,PTC,Malignant cell,0.0,0.19062128301581963
PTC01,PTC,T cell,2.161418014819023,0.5030359330092681
PTC01,PTC,Malignant cell,1.006317343269121,0.44209126675758054
PTC01,PTC,Malignant cell,0.0,0.422110865301912
PTC01,PTC,Malignant cell,0.9834409024460242,0.27317802845722894
PTC01,PTC,Malignant cell,0.9617581344029716,0.2561558899523565
PTC01,PTC,Malignant cell,0.9993234986497588,0.46517679703555864
PTC01,PTC,Malignant cell,0.5859084139579002,0.18586207524287424
PTC01,PTC,Myeloid cell,0.0,0.0
PTC01,PTC,Myeloid cell,0.0,0.30612257050440056
PTC01,PTC,Fibroblast,0.0,0.09011311086398954
PTC01,PTC,Malignant cell,0.0,0.5369033042608382
PTC01,PTC,Malignant cell,0.48862910573796237,0.5624271610075786
PTC01,PTC,Malignant cell,0.7614701933772472,0.3673339733747343
PTC01,PTC,Endothelial cell,0.0,0.12244493351734491
PTC01,PTC,Malignant cell,0.0,0.24438258546649858
PTC01,PTC,Malignant cell,0.0,0.2497829028763356
PTC01,PTC,Malignant cell,0.0,0.10222285668067191
PTC01,PTC,Malignant cell,0.0,0.14490579284045238
PTC01,PTC,Malignant cell,0.0,0.40497634111935193
PTC01,PTC,Malignant cell,0.0,0.16801373403419628
PTC01,PTC,Malignant cell,0.0,0.17024833659770083
PTC01,PTC,Malignant cell,0.0,0.11612661831010367
PTC01,PTC,Malignant cell,0.0,0.18856476054719826
PTC01,PTC,Myeloid cell,0.0,0.06839177288396814
PTC01,PTC,Malignant cell,0.0,0.3160995655504636
PTC01,PTC,Malignant cell,0.0,0.22784459297442686
PTC01,PTC,Malignant cell,0.0,0.5601004263435944
PTC01,PTC,Malignant cell,0.45946479561920917,0.06847533217376639
PTC01,PTC,Malignant cell,1.0320815148162004,0.6084186610895085
PTC01,PTC,Malignant cell,0.0,0.26374498664779117
PTC01,PTC,Malignant cell,1.7184020849723318,0.3271253167021777
PTC01,PTC,NK cell,0.0,0.2645332556961169
PTC01,PTC,Myeloid cell,0.0,0.19624236906694478
PTC01,PTC,NK cell,0.0,0.0
PTC01,PTC,Malignant cell,0.0,0.2681828357819966
PTC01,PTC,Malignant cell,0.0,0.11682225872091495
PTC01,PTC,Malignant cell,1.52304251274123,0.255804217919577
PTC01,PTC,Myeloid cell,0.0,0.1462010941045637
PTC01,PTC,Malignant cell,0.0,0.0
PTC01,PTC,Malignant cell,0.0,0.5698884952946209
PTC01,PTC,Malignant cell,0.8166671454914478,0.25148897640957885
PTC01,PTC,Malignant cell,0.0,0.4350534164003401
PTC01,PTC,Myeloid cell,0.0,0.32975113894895774
PTC01,PTC,Malignant cell,0.876520077909824,0.3614842265899492
PTC01,PTC,Malignant cell,0.0,0.26103800526459775
PTC01,PTC,Malignant cell,0.0,0.0
PTC01,PTC,Myeloid cell,0.0,0.2559634603972529
PTC01,PTC,Malignant cell,0.0,0.1956862273173305
PTC01,PTC,Malignant cell,0.6589432439008428,0.24589764833885322
PTC01,PTC,Malignant cell,0.0,0.3458273222663186
PTC01,PTC,Malignant cell,0.8733392572243397,0.5968394835666111
PTC01,PTC,Malignant cell,0.0,0.0
PTC01,PTC,Myeloid cell,0.0,0.3450253046021641
PTC01,PTC,Malignant cell,0.0,0.3571160909951235
